date,work_id,doi,title,publication_year,type,source,citations,included_in_curated
2026-08-31,W4409424642,https://doi.org/10.61733/jconch/4546,Using radio frequency identification technology to track the movement of slugs within domestic garden habitats,2025,article,Journal of conchology,0,True
2026-08-31,W4409759391,https://doi.org/10.21203/rs.3.rs-6360858/v1,"A re-evaluation of the optimal liver copper concentrations for health, performance and fertility of replacement Holstein-Friesian heifers",2025,preprint,Research Square,0,True
2026-08-31,W4410038418,https://doi.org/10.3390/insects16050477,Effects of Confinement and Wheat Variety on the Performance of Two Aphid Species,2025,article,Insects,2,True
2026-08-31,W4411041366,https://doi.org/10.1007/s12011-025-04668-0,"A Re-evaluation of the Optimal Liver Copper Concentrations for Health, Performance and Fertility of Replacement Holstein–Friesian Heifers",2025,article,Biological Trace Element Research,2,True
2026-08-31,W4411090753,https://doi.org/10.1111/mve.12814,Extended time to maturity in Anopheles coluzzii : Implications of late egg hatch for vector control and transgene fitness,2025,article,Medical and Veterinary Entomology,0,True
2026-08-31,W4411730566,https://doi.org/10.1016/j.jtbi.2025.112185,A process-based life cycle model of the cabbage stem flea beetle on winter oilseed rape: Effects of temperature,2025,article,Journal of Theoretical Biology,1,True
2026-08-31,W4412929723,https://doi.org/10.1016/j.atech.2025.101244,Novel nocturnal insect pest monitoring for sustainable crop protection using ensemble augmented deep learning classification,2025,article,Smart Agricultural Technology,2,True
2026-08-31,W4414437146,https://doi.org/10.1111/jen.70021,An Apple a Day Does Not Keep the Weevils Away: Enhancing Vine Weevil Monitoring With Fruit‐Based Volatiles,2025,article,Journal of Applied Entomology,1,True
2026-08-31,W4416087417,https://doi.org/10.1080/09583157.2025.2586218,Question of compatibility: combining botanical garlic extract and entomopathogenic nematode as integrated biological control for vine weevil,2025,article,Biocontrol Science and Technology,1,True
2026-08-31,W7116910377,https://doi.org/10.1002/ps.70461,How effective are entomopathogenic nematodes for vine weevil (Coleoptera: Curculionidae) biological control? A meta‐analysis,2025,article,Pest Management Science,0,True
2026-08-31,W7123676068,https://doi.org/10.1002/ps.70518,Effects of bioinsecticide exposure route on aphids and their natural enemies in oilseed rape,2026,article,Pest Management Science,1,True
2026-08-31,W7125750223,https://doi.org/10.2139/ssrn.6086739,ASSESSMENT OF INTERACTIONS BETWEEN PYRETHRUM EXTRACT AND OLEIC ACID AGAINST APHIS FABAE SCOPOLI (HEMIPTERA: APHIDIDAE) THROUGH A MODIFIED CHECKERBOARD ASSAY APPROACH,2026,preprint,SSRN Electronic Journal,0,True
2026-08-31,W7140234598,https://doi.org/10.1111/afe.70043,"Refuge by day, forage by night: Diel activity of vine weevil as characterised by smart monitoring",2026,article,Agricultural and Forest Entomology,0,True
2026-08-31,W7140557548,https://doi.org/10.1111/afe.70047,Evaluating the efficacy of tagging adhesives for insect tracking,2026,article,Agricultural and Forest Entomology,0,True
2026-08-31,W7155225983,https://doi.org/10.21203/rs.3.rs-9280252/v1,How much copper do calves need? Absorption and hepatic storage in artificially reared milk- fed Holstein–Friesian calves,2026,preprint,Research Square,0,True
2026-08-31,W7166863173,https://doi.org/10.1007/s12011-026-05190-7,How much Copper Do Calves Need? Retention and Hepatic Storage in Artificially Reared Milk-Fed Holstein–Friesian Calves,2026,article,Biological Trace Element Research,0,True
2026-08-31,W7172267668,https://doi.org/10.1111/afe.70077,Reconsidering the importance of M etopolophium dirhodum ( W alker) ( H emiptera: A phididae) as a crop pest,2026,article,Agricultural and Forest Entomology,0,True
2026-08-31,W7202036786,https://doi.org/10.1111/aab.70152,Dispersal responses of cereal aphids to wheat cultivar and planting configuration,2026,article,Annals of Applied Biology,0,True
2026-08-31,W7202277599,https://doi.org/10.1111/afe.70078,"Behavioural responses of peach potato aphid, M yzus persicae S ulzer ( H emiptera: A phididae), to entomopathogenic fungi infected conspecifics",2026,article,Agricultural and Forest Entomology,0,True
2026-08-31,W7203459156,https://doi.org/10.1016/j.tplants.2026.07.011,A new sustainability paradigm beyond the organic brand,2026,article,Trends in Plant Science,0,True
2026-08-31,W7204111607,https://doi.org/10.1111/aab.70155,Industry perceptions of biological control in food manufacturing environments: A qualitative analysis of barriers and opportunities,2026,article,Annals of Applied Biology,0,True
